Job No,Date,(No column name),Weekday
825605.01000,2016-11-29,2,1
826063.00000,2016-11-26,6,5
837896.00000,2016-12-09,5,1
847124.00000,2016-12-19,1,2
853509.00000,2016-12-24,6,5
856004.00000,2016-12-28,3,1
866243.00000,2017-01-04,3,7
869600.00000,2017-01-11,3,4
871820.00000,2017-01-12,4,3
876476.00000,2017-01-18,3,2
893099.01000,2017-02-04,6,5
893680.01000,2017-02-04,6,5
894691.02000,2017-02-07,2,1
896158.01000,2017-02-06,1,2
896395.01000,2017-02-08,3,2
898486.01000,2017-02-08,3,4
900308.00000,2017-02-10,5,4
903726.01000,2017-02-15,3,2
826356.01000,2016-11-29,2,1
826376.01000,2016-11-29,2,1
835002.00000,2016-12-07,3,2
842295.00000,2016-12-14,3,1
848763.00000,2016-12-21,3,2
851654.00000,2016-12-23,5,1
867299.00000,2017-01-07,6,5
875956.00000,2017-01-18,3,2
889407.01000,2017-02-01,3,2
889873.01000,2017-02-01,3,2
890577.01000,2017-02-02,4,3
891102.01000,2017-02-02,4,3
892985.00000,2017-02-03,5,4
894712.01000,2017-02-07,2,1
897204.00000,2017-02-07,2,3
901037.01000,2017-02-11,6,5
903731.01000,2017-02-15,3,2
904929.01000,2017-02-16,4,3
828160.00000,2016-11-30,3,2
828558.00000,2016-11-30,3,1
833217.00000,2016-12-04,7,1
839761.00000,2016-12-10,6,5
846971.00000,2016-12-18,7,1
888665.00000,2017-01-30,1,2
889408.01000,2017-02-01,3,2
890582.01000,2017-02-02,4,3
894720.01000,2017-02-07,2,1
897372.00000,2017-02-08,3,2
897578.01000,2017-02-09,4,3
902047.01000,2017-02-14,2,1
870120.00000,2017-01-11,3,4
880276.00000,2017-01-20,5,6
883347.00000,2017-01-24,2,3
890369.00000,2017-02-01,3,2
890575.02000,2017-02-02,4,3
890586.01000,2017-02-02,4,3
891111.01000,2017-02-02,4,3
891863.02000,2017-02-03,5,4
893081.01000,2017-02-04,6,5
894696.01000,2017-02-07,2,1
894704.01000,2017-02-07,2,1
898844.01000,2017-02-10,5,4
901019.01000,2017-02-11,6,5
904927.01000,2017-02-16,4,3
909058.01000,2017-02-21,2,1
909088.01000,2017-02-21,2,1
910751.01000,2017-02-22,3,2
916140.01000,2017-02-28,2,1
921522.01000,2017-03-04,6,5
926816.01000,2017-03-11,6,5
935706.01000,2017-03-18,6,5
935742.01000,2017-03-18,6,5
936791.00000,2017-03-17,5,6
938130.01000,2017-03-21,2,1
939063.01000,2017-03-22,3,2
941358.01000,2017-03-24,5,4
942962.01000,2017-03-25,6,5
944441.00000,2017-03-24,5,4
944824.01000,2017-03-28,2,1
944835.01000,2017-03-28,2,1
947354.01000,2017-03-30,4,3
949743.02000,2017-04-02,7,5
951329.01000,2017-04-04,2,1
951432.01000,2017-04-04,2,1
954355.01000,2017-04-06,4,3
954417.01000,2017-04-06,4,3
955703.01000,2017-04-07,5,4
956968.01000,2017-04-08,6,5
958678.01000,2017-04-11,2,1
958692.01000,2017-04-11,2,1
960417.01000,2017-04-12,3,2
911983.01000,2017-02-23,4,3
917304.01000,2017-02-28,2,1
917304.00000,2017-02-28,2,1
919534.01000,2017-03-02,4,3
920310.01000,2017-03-03,5,4
921546.01000,2017-03-04,6,5
926761.01000,2017-03-10,5,4
926831.01000,2017-03-11,6,5
927843.01000,2017-03-09,4,5
930344.01000,2017-03-14,2,1
929745.00000,2017-03-10,5,4
933742.01000,2017-03-16,4,3
934490.01000,2017-03-17,5,4
934492.01000,2017-03-17,5,4
935730.01000,2017-03-18,6,5
937350.02000,2017-03-21,2,1
940160.01000,2017-03-23,4,3
938898.01000,2017-03-23,4,2
938960.01000,2017-03-23,4,2
940282.01000,2017-03-23,4,3
939561.01000,2017-03-22,3,2
940070.01000,2017-03-23,4,3
905837.00000,2017-02-15,3,2
907425.01000,2017-02-19,7,5
942976.01000,2017-03-25,6,5
944822.01000,2017-03-28,2,1
948502.01000,2017-03-31,5,4
946009.01000,2017-03-29,3,2
949706.01000,2017-04-02,7,5
948643.01000,2017-03-31,5,4
951554.01000,2017-04-04,2,1
916127.01000,2017-02-28,2,1
949675.01000,2017-04-02,7,5
949918.01000,2017-04-01,6,5
953092.01000,2017-04-05,3,2
953177.01000,2017-04-05,3,2
954410.01000,2017-04-06,4,3
917808.01000,2017-03-01,3,2
917812.01000,2017-03-01,3,2
951400.02000,2017-04-04,2,1
951400.03000,2017-04-04,2,1
951415.01000,2017-04-04,2,1
951584.01000,2017-04-04,2,1
956992.01000,2017-04-08,6,5
957071.01000,2017-04-07,5,4
958830.02000,2017-04-11,2,1
955643.01000,2017-04-07,5,4
921520.02000,2017-03-04,6,5
921558.01000,2017-03-04,6,5
956984.01000,2017-04-08,6,5
958843.01000,2017-04-11,2,1
958850.01000,2017-04-11,2,1
958862.01000,2017-04-11,2,1
957749.01000,2017-04-08,6,5
957755.01000,2017-04-08,6,5
960240.00000,2017-04-04,2,1
960498.01000,2017-04-12,3,2
958609.01000,2017-04-11,2,1
958697.01000,2017-04-11,2,1
958709.01000,2017-04-11,2,1
923166.01000,2017-03-07,2,1
924522.00000,2017-03-04,6,1
924866.01000,2017-03-08,3,2
934944.01000,2017-03-17,5,4
937354.01000,2017-03-21,2,1
938866.01000,2017-03-23,4,2
947345.01000,2017-03-30,4,3
947868.01000,2017-03-30,4,3
949759.01000,2017-04-02,7,5
949892.01000,2017-04-01,6,5
951363.01000,2017-04-04,2,1
951550.02000,2017-04-04,2,1
953185.01000,2017-04-05,3,2
955058.01000,2017-04-06,4,3
955677.02000,2017-04-07,5,4
956901.01000,2017-04-08,6,5
957749.02000,2017-04-08,6,5
958642.01000,2017-04-11,2,1
907451.01000,2017-02-19,7,5
909068.01000,2017-02-21,2,1
909075.01000,2017-02-21,2,1
917460.00000,2017-02-25,6,5
923196.01000,2017-03-07,2,1
927773.02000,2017-03-07,2,3
929751.00000,2017-03-09,4,5
929772.00000,2017-03-13,1,3
930312.02000,2017-03-14,2,1
932007.01000,2017-03-15,3,2
933213.01000,2017-03-16,4,3
933736.01000,2017-03-16,4,3
936852.00000,2017-03-20,1,3
938950.01000,2017-03-23,4,2
940105.01000,2017-03-23,4,3
940278.01000,2017-03-23,4,3
940292.01000,2017-03-23,4,3
941356.01000,2017-03-24,5,4
941406.01000,2017-03-24,5,4
942952.01000,2017-03-25,6,5
946415.00000,2017-03-28,2,1
947329.01000,2017-03-30,4,3
947355.01000,2017-03-30,4,3
948452.01000,2017-03-31,5,4
949714.01000,2017-04-02,7,5
949743.01000,2017-04-02,7,5
949778.01000,2017-04-02,7,5
951400.01000,2017-04-04,2,1
951564.01000,2017-04-04,2,1
953124.01000,2017-04-05,3,2
956931.01000,2017-04-08,6,5
907415.01000,2017-02-19,7,5
908036.01000,2017-02-18,6,5
911580.00000,2017-02-21,2,3
916111.01000,2017-02-28,2,1
921532.01000,2017-03-04,6,5
961677.01000,2017-04-13,4,3
961765.01000,2017-04-13,4,3
961711.01000,2017-04-13,4,3
961772.01000,2017-04-13,4,3
961873.01000,2017-04-13,4,3
961889.01000,2017-04-13,4,3
923162.02000,2017-03-07,2,1
963098.01000,2017-04-14,5,4
966317.01000,2017-04-19,3,2
966368.01000,2017-04-19,3,2
969274.01000,2017-04-20,4,3
970419.01000,2017-04-21,5,4
960618.01000,2017-04-12,3,2
926821.01000,2017-03-11,6,5
961534.00000,2017-04-12,3,2
966286.01000,2017-04-19,3,2
971858.01000,2017-04-22,6,5
962448.01000,2017-04-13,4,3
963039.01000,2017-04-14,5,4
963088.01000,2017-04-14,5,4
970469.01000,2017-04-21,5,4
973554.01000,2017-04-25,2,1
973709.01000,2017-04-25,2,1
971718.01000,2017-04-22,6,5
973523.01000,2017-04-25,2,1
967258.03000,2017-04-16,7,6
967261.02000,2017-04-16,7,6
966641.01000,2017-04-19,3,2
978034.01000,2017-04-28,5,4
933223.01000,2017-03-16,4,3
979168.01000,2017-04-29,6,5
979218.01000,2017-04-29,6,5
976515.01000,2017-04-27,4,3
976568.01000,2017-04-27,4,3
969086.01000,2017-04-20,4,3
969248.01000,2017-04-20,4,3
981066.02000,2017-05-02,2,1
971718.02000,2017-04-22,6,5
971769.01000,2017-04-22,6,5
971895.01000,2017-04-22,6,5
982638.01000,2017-05-03,3,2
969266.01000,2017-04-20,4,3
973454.01000,2017-04-25,2,1
983793.01000,2017-05-02,2,1
937384.01000,2017-03-21,2,1
980370.02000,2017-04-29,6,5
974442.01000,2017-04-25,2,1
981086.01000,2017-05-02,2,1
981098.01000,2017-05-02,2,1
971688.01000,2017-04-22,6,5
938889.01000,2017-03-23,4,2
981828.01000,2017-05-02,2,1
982837.01000,2017-05-03,3,2
973697.01000,2017-04-25,2,1
940266.01000,2017-03-23,4,3
983771.00000,2017-04-29,6,1
984134.01000,2017-05-04,4,3
941538.01000,2017-03-24,5,4
979346.01000,2017-04-29,6,5
942988.01000,2017-03-25,6,5
981823.01000,2017-05-02,2,1
976695.01000,2017-04-27,4,3
944802.02000,2017-03-28,2,1
982668.01000,2017-05-03,3,2
977837.01000,2017-04-28,5,4
945957.01000,2017-03-29,3,2
946009.02000,2017-03-29,3,2
988252.01000,2017-05-09,2,1
984149.01000,2017-05-04,4,3
979370.01000,2017-04-29,6,5
990057.01000,2017-05-10,3,2
980874.01000,2017-05-02,2,1
949882.01000,2017-04-01,6,5
982719.01000,2017-05-03,3,2
993936.01000,2017-05-13,6,5
953796.01000,2017-04-05,3,2
954320.01000,2017-04-06,4,3
1001362.01000,2017-05-20,6,5
955677.01000,2017-04-07,5,4
957738.01000,2017-04-08,6,5
1010504.01000,2017-05-30,2,1
1026841.00000,2017-06-10,6,2
962430.01000,2017-04-13,4,3
967268.01000,2017-04-16,7,6
967930.01000,2017-04-19,3,2
969264.01000,2017-04-20,4,3
970604.01000,2017-04-21,5,4
973027.00000,2017-04-21,5,2
973055.00000,2017-04-21,5,4
976481.01000,2017-04-27,4,3
976587.01000,2017-04-27,4,3
979137.01000,2017-04-29,6,5
984007.01000,2017-05-04,4,3
985483.01000,2017-05-05,5,4
986566.01000,2017-05-06,6,5
986897.00000,2017-05-05,5,4
988283.01000,2017-05-09,2,1
990135.01000,2017-05-10,3,2
997253.00000,2017-05-12,5,1
997433.01000,2017-05-17,3,2
997511.01000,2017-05-17,3,2
1004645.00000,2017-05-20,6,1
1007426.01000,2017-05-26,5,4
1007474.01000,2017-05-26,5,4
1012221.01000,2017-05-31,3,2
983970.01000,2017-05-04,4,3
995635.01000,2017-05-16,2,1
995684.01000,2017-05-16,2,1
995701.01000,2017-05-16,2,1
986538.01000,2017-05-06,6,5
998741.01000,2017-05-18,4,3
993908.02000,2017-05-13,6,5
989233.01000,2017-05-09,2,1
1000046.01000,2017-05-19,5,4
1001313.01000,2017-05-20,6,5
1001362.02000,2017-05-20,6,5
992681.01000,2017-05-12,5,4
992743.01000,2017-05-12,5,4
992846.01000,2017-05-12,5,4
1003000.01000,2017-05-23,2,1
1003031.01000,2017-05-23,2,1
1003779.00000,2017-05-22,1,6
993908.01000,2017-05-13,6,5
1000079.01000,2017-05-19,5,4
995684.02000,2017-05-16,2,1
1001285.01000,2017-05-20,6,5
1003080.01000,2017-05-23,2,1
1010477.01000,2017-05-30,2,1
1012299.01000,2017-05-31,3,2
1008109.01000,2017-05-26,5,4
998709.01000,2017-05-18,4,3
998793.01000,2017-05-18,4,3
1000094.01000,2017-05-19,5,4
1010407.01000,2017-05-30,2,1
1003066.01000,2017-05-23,2,1
1004034.01000,2017-05-23,2,1
1004648.00000,2017-05-20,6,1
1006153.01000,2017-05-25,4,3
1045457.00000,2017-06-29,4,5
1008725.01000,2017-05-27,6,5
1010438.01000,2017-05-30,2,1
1012250.01000,2017-05-31,3,2
1012287.01000,2017-05-31,3,2
961772.02000,2017-04-13,4,3
963088.02000,2017-04-14,5,4
1046239.04000,2017-07-01,6,5
1051255.01000,2017-07-06,4,3
970596.02000,2017-04-21,5,4
971905.01000,2017-04-22,6,5
971931.01000,2017-04-22,6,5
973487.01000,2017-04-25,2,1
973677.02000,2017-04-25,2,1
973710.01000,2017-04-25,2,1
1057454.00000,2017-07-12,3,2
976705.01000,2017-04-27,4,3
1061037.00000,2017-07-13,4,5
979167.01000,2017-04-29,6,5
982355.02000,2017-05-02,2,1
1067424.01000,2017-07-19,3,4
1068577.00000,2017-07-20,4,5
985291.01000,2017-05-05,5,4
987791.02000,2017-05-06,6,5
988332.01000,2017-05-09,2,1
1072519.01000,2017-07-26,3,2
1073814.01000,2017-07-27,4,3
990085.01000,2017-05-10,3,2
990120.01000,2017-05-10,3,2
992648.01000,2017-05-12,5,4
993985.01000,2017-05-13,6,5
1078248.01000,2017-08-01,2,1
995604.01000,2017-05-16,2,1
997462.01000,2017-05-17,3,2
1082859.01000,2017-08-04,5,4
1085974.01000,2017-08-08,2,1
1006069.01000,2017-05-25,4,3
1006101.01000,2017-05-25,4,3
1046239.02000,2017-07-01,6,5
1090680.01000,2017-08-11,5,4
1007486.01000,2017-05-26,5,4
1008697.01000,2017-05-27,6,5
1091793.01000,2017-08-12,6,5
1030719.00000,2017-06-13,2,4
1047909.01000,2017-07-04,2,1
1093616.01000,2017-08-15,2,1
1093739.02000,2017-08-15,2,1
1024827.00000,2017-06-09,5,3
1038051.00000,2017-06-22,4,5
1046239.03000,2017-07-01,6,5
1051124.01000,2017-07-06,4,3
1052469.01000,2017-07-07,5,4
1052526.01000,2017-07-07,5,4
1053466.00000,2017-07-06,4,5
1055133.01000,2017-07-09,7,1
1053953.01000,2017-07-08,6,5
1057412.01000,2017-07-12,3,2
1057390.01000,2017-07-12,3,2
1061547.01000,2017-07-15,6,5
1061290.01000,2017-07-15,6,5
1064747.01000,2017-07-17,1,2
1065007.02000,2017-07-19,3,2
1066999.01000,2017-07-20,4,3
1066407.01000,2017-07-20,4,3
1070730.01000,2017-07-25,2,1
1070684.01000,2017-07-25,2,1
1046239.01000,2017-07-01,6,5
1078339.01000,2017-08-01,2,1
1080099.01000,2017-08-02,3,2
1081393.01000,2017-08-03,4,3
1082876.01000,2017-08-04,5,4
1082832.01000,2017-08-04,5,4
1083839.00000,2017-08-03,4,5
1057351.01000,2017-07-12,3,2
1057378.01000,2017-07-12,3,2
1085519.00000,2017-07-28,5,6
1085421.01000,2017-08-01,2,5
1058866.01000,2017-07-13,4,3
